player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
245537,Nabil Bentaleb,Midfield,Defensive Midfield,Algeria,28,2021-22,2022-23,Angers SCO,Angers SCO,1523,2493,970,0.059,0.289,0.23,3500000,7000000,3500000,100,433
325223,Mama Baldé,Attack,Centre-Forward,Guinea-Bissau,27,2021-22,2022-23,ESTAC Troyes,ESTAC Troyes,1724,2671,947,0.313,0.539,0.226,4500000,8000000,3500000,77.78,434
166677,Brian Oliván,Defender,Left-Back,Spain,29,2021-22,2022-23,RCD Mallorca,RCD Espanyol Barcelona,2187,2413,226,0.082,0.298,0.216,2500000,6000000,3500000,140,435
234029,Grischa Prömel,Midfield,Central Midfield,Germany,27,2020-21,2021-22,1.FC Union Berlin,1.FC Union Berlin,1827,2428,601,0.197,0.334,0.137,4000000,7500000,3500000,87.5,436
500689,Evann Guessand,Attack,Right Winger,Cote d'Ivoire,22,2022-23,2023-24,FC Nantes,OGC Nice,1257,1540,283,0.358,0.468,0.11,4500000,8000000,3500000,77.78,437
380598,Santi Comesaña,Midfield,Central Midfield,Spain,26,2021-22,2022-23,Rayo Vallecano,Rayo Vallecano,2696,2471,-225,0.1,0.182,0.082,4000000,7500000,3500000,87.5,438
120205,Michael Gregoritsch,Attack,Centre-Forward,Austria,29,2021-22,2022-23,FC Augsburg,SC Freiburg,1390,2175,785,0.583,0.621,0.038,4500000,8000000,3500000,77.78,439
250844,Alexander Djiku,Defender,Centre-Back,Ghana,27,2020-21,2021-22,RC Strasbourg Alsace,RC Strasbourg Alsace,2556,2697,141,0,0.033,0.033,6500000,10000000,3500000,53.85,440
472249,Jan Thielmann,Attack,Right Winger,Germany,20,2020-21,2021-22,1.FC Köln,1.FC Köln,1023,1181,158,0.44,0.457,0.017,4000000,7500000,3500000,87.5,441
282250,Birger Meling,Defender,Left-Back,Norway,27,2020-21,2021-22,Nîmes Olympique,Stade Rennais FC,2329,1826,-503,0.193,0.197,0.004,3500000,7000000,3500000,100,442
250153,Pasquale Mazzocchi,Defender,Right-Back,Italy,27,2021-22,2022-23,"US Salernitana 1919, Venezia FC",US Salernitana 1919,2518,1966,-552,0.071,0.275,0.204,1500000,4800000,3300000,220,443
246968,Ayoze Pérez,Attack,Centre-Forward,Spain,31,2023-24,2024-25,Real Betis Balompié,Villarreal CF,2307,1976,-331,0.39,0.956,0.566,7000000,10000000,3000000,42.86,444
584769,Dwight McNeil,Attack,Left Winger,England,25,2023-24,2024-25,Everton FC,Everton FC,2898,1371,-1527,0.28,0.788,0.508,22000000,25000000,3000000,13.64,445
292818,Jonathan Bamba,Attack,Left Winger,Cote d'Ivoire,27,2021-22,2022-23,LOSC Lille,LOSC Lille,2444,2789,345,0.11,0.42,0.31,17000000,20000000,3000000,17.65,446
