player_id,player_name,position,sub_position,country_of_citizenship,club_id,club_name,competition_id,competition_name,country_name,season,season_label,age_at_season_end,appearances,minutes_played,goals,assists,goal_contributions,goals_per_90,assists_per_90,goal_contributions_per_90,club_matches,club_points_per_match,availability_percentage,productivity_percentile,availability_percentile,productivity_percentile_score,availability_percentile_score,productivity_availability_score,combined_position_league_season_rank,combined_league_season_rank,combined_overall_rank
236400,Léo Dubois,Defender,Right-Back,France,1041,Olympique Lyon,FR1,ligue-1,France,2020,2020-21,26,37,2918,2,4,6,0.062,0.123,0.185,38,2,85.32,0.868421053,0.815789474,86.84,81.58,84.21,3,9,208
314353,Trent Alexander-Arnold,Defender,Right-Back,England,31,Liverpool FC,GB1,premier-league,England,2020,2020-21,22,36,3033,2,7,9,0.059,0.208,0.267,38,1.82,88.68,0.987179487,0.807692308,98.72,80.77,89.74,4,9,100
356141,Daichi Kamada,Midfield,Attacking Midfield,Japan,24,Eintracht Frankfurt,L1,bundesliga,Germany,2020,2020-21,24,32,2375,5,13,18,0.189,0.493,0.682,34,1.76,77.61,0.931818182,0.704545455,93.18,70.45,81.82,2,10,279
149498,Gabriel Paulista,Defender,Centre-Back,Brazil,1049,Valencia CF,ES1,laliga,Spain,2020,2020-21,30,31,2717,4,2,6,0.132,0.066,0.199,38,1.13,79.44,0.929577465,0.746478873,92.96,74.65,83.8,4,10,226
361914,Nayef Aguerd,Defender,Centre-Back,Morocco,273,Stade Rennais FC,FR1,ligue-1,France,2020,2020-21,25,35,3148,3,1,4,0.086,0.029,0.114,38,1.53,92.05,0.684210526,0.907894737,68.42,90.79,79.61,4,10,354
183334,Patrick Bamford,Attack,Centre-Forward,England,399,Leeds United,GB1,premier-league,England,2020,2020-21,27,38,3063,17,8,25,0.5,0.235,0.735,38,1.55,89.56,0.88372093,0.88372093,88.37,88.37,88.37,4,10,122
112302,Roberto Pereyra,Midfield,Central Midfield,Argentina,410,Udinese Calcio,IT1,serie-a,Italy,2020,2020-21,30,34,2935,5,8,13,0.153,0.245,0.399,38,1.05,85.82,0.803030303,0.924242424,80.3,92.42,86.36,6,10,165
398073,Achraf Hakimi,Defender,Right-Back,Morocco,46,Inter Milan,IT1,serie-a,Italy,2020,2020-21,22,37,2670,7,10,17,0.236,0.337,0.573,38,2.39,78.07,0.985294118,0.705882353,98.53,70.59,84.56,4,11,201
33829,José Fonte,Defender,Centre-Back,Portugal,1082,LOSC Lille,FR1,ligue-1,France,2020,2020-21,37,36,3187,3,1,4,0.085,0.028,0.113,38,2.18,93.19,0.671052632,0.921052632,67.11,92.11,79.61,5,11,355
44352,Luis Suárez,Attack,Centre-Forward,Uruguay,13,Atlético de Madrid,ES1,laliga,Spain,2020,2020-21,34,32,2522,21,3,24,0.749,0.107,0.856,38,2.26,73.74,0.954545455,0.681818182,95.45,68.18,81.82,4,11,277
232418,Ondrej Duda,Midfield,Central Midfield,Slovakia,3,1.FC Köln,L1,bundesliga,Germany,2020,2020-21,26,32,2553,7,6,13,0.247,0.212,0.458,34,0.97,83.43,0.795454545,0.818181818,79.55,81.82,80.68,3,11,322
157672,Vladimír Coufal,Defender,Right-Back,Czech Republic,379,West Ham United,GB1,premier-league,England,2020,2020-21,28,34,3055,0,7,7,0,0.206,0.206,38,1.71,89.33,0.897435897,0.833333333,89.74,83.33,86.54,5,11,160
477758,Aaron Wan-Bissaka,Defender,Right-Back,DR Congo,985,Manchester United,GB1,premier-league,England,2020,2020-21,23,34,3060,2,4,6,0.059,0.118,0.176,38,1.95,89.47,0.833333333,0.846153846,83.33,84.62,83.97,6,12,214
125781,Antoine Griezmann,Attack,Second Striker,France,131,FC Barcelona,ES1,laliga,Spain,2020,2020-21,30,36,2620,13,8,21,0.447,0.275,0.721,38,2.08,76.61,0.886363636,0.75,88.64,75,81.82,5,12,278
8198,Cristiano Ronaldo,Attack,Centre-Forward,Portugal,506,Juventus FC,IT1,serie-a,Italy,2020,2020-21,36,33,2803,29,2,31,0.931,0.064,0.995,38,2.05,81.96,0.966666667,0.7,96.67,70,83.33,2,12,231
278332,Florian Neuhaus,Midfield,Central Midfield,Germany,18,Borussia Mönchengladbach,L1,bundesliga,Germany,2020,2020-21,24,33,2630,6,6,12,0.205,0.205,0.411,34,1.44,85.95,0.727272727,0.886363636,72.73,88.64,80.68,4,12,323
315110,Karl Toko Ekambi,Attack,Centre-Forward,Cameroon,1041,Olympique Lyon,FR1,ligue-1,France,2020,2020-21,28,35,2831,14,7,21,0.445,0.223,0.668,38,2,82.78,0.805555556,0.777777778,80.56,77.78,79.17,3,12,371
197838,Jamie Vardy,Attack,Centre-Forward,England,1003,Leicester City,GB1,premier-league,England,2020,2020-21,34,34,2844,15,9,24,0.475,0.285,0.759,38,1.74,83.16,0.930232558,0.744186047,93.02,74.42,83.72,5,13,227
283994,Ludovic Ajorque,Attack,Centre-Forward,France,667,RC Strasbourg Alsace,FR1,ligue-1,France,2020,2020-21,27,35,2972,16,4,20,0.485,0.121,0.606,38,1.11,86.9,0.694444444,0.888888889,69.44,88.89,79.17,4,13,372
35207,Marco Reus,Midfield,Attacking Midfield,Germany,16,Borussia Dortmund,L1,bundesliga,Germany,2020,2020-21,32,32,2293,8,8,16,0.314,0.314,0.628,34,1.88,74.93,0.909090909,0.659090909,90.91,65.91,78.41,5,13,401
203496,Nabil Fekir,Midfield,Attacking Midfield,France,150,Real Betis Balompié,ES1,laliga,Spain,2020,2020-21,27,33,2636,5,6,11,0.171,0.205,0.376,38,1.61,77.08,0.931818182,0.704545455,93.18,70.45,81.82,4,13,281
255942,Nicolò Barella,Midfield,Central Midfield,Italy,46,Inter Milan,IT1,serie-a,Italy,2020,2020-21,24,36,2901,3,9,12,0.093,0.279,0.372,38,2.39,84.82,0.757575758,0.909090909,75.76,90.91,83.33,7,13,239
250013,Angelo Fulgini,Midfield,Attacking Midfield,New Caledonia,1420,Angers SCO,FR1,ligue-1,France,2020,2020-21,24,33,2741,7,3,10,0.23,0.099,0.328,38,1.16,80.15,0.771929825,0.807017544,77.19,80.7,78.95,5,14,380
